"numero_uai","denomination_principale_uai","patronyme_uai","adresse_uai","localite_acheminement_uai","departement","code_postal_uai"
"0020048S","LYCEE GENERAL ET TECHNOLOGIQUE","HENRI MARTIN","1  RUE GABRIEL GIRODON","ST QUENTIN",2,2100
"0020049T","LYCEE GENERAL ET TECHNOLOGIQUE","PIERRE DE LA RAMEE","1  RUE JULES SIEGFRIED","ST QUENTIN",2,2100
"0020050U","LGT LYCEE DES METIERS","CONDORCET","ROND-POINT JOLIOT CURIE","ST QUENTIN",2,2100
"0020051V","LP LYCEE DES METIERS","DE L AMEUBLEMENT","Rue FLEMING","ST QUENTIN",2,2100
"0020052W","LP LYCEE DES METIERS","COLARD NOEL","132 avenue DE LA REPUBLIQUE","ST QUENTIN",2,2100
"0020059D","LYCEE GENERAL ET TECHNOLOGIQUE","GERARD DE NERVAL","14  RUE PAUL DEVIOLAINE","SOISSONS CEDEX",2,2209
"0020060E","LYCEE GEN.ET TECHNOL.AGRICOLE","DE CREZANCY","1  RUE DE PARIS","CREZANCY",2,2650
"0011162H","GRETA JURA SUD LEMAN","LYCEE SAINT EXUPERY","15 AVENUE SAINT EXUPERY","BELLEGARDE SUR VALSERINE",1,1200
"0011163J","GRETA VAL BUGEY LEMAN","LYCEE ARBEZ CARME","1  RUE PIERRE ET MARIE CURIE","BELLIGNAT",1,1100
"0021476U","LPO LYCEE DES METIERS","LEONARD DE VINCI","1 espace JEAN GUERLAND","SOISSONS CEDEX",2,2331
"0010099C","LYCEE PROF PRIVE des METIERS","SAINT JOSEPH","3 BIS RUE DU LYCEE","BOURG EN BRESSE",1,1000
"0010001W","LP LYCEE DES METIERS","ALEXANDRE BERARD","223 rue ALEXANDRE BERARD","AMBERIEU EN BUGEY",1,1500
"0010006B","LPO LYCEE DES METIERS","SAINT-EXUPERY","15 avenue SAINT-EXUPERY","BELLEGARDE SUR VALSERINE C",1,1206
"0010007C","LYCEE PROFESSIONNEL","BRILLAT SAVARIN","15 AVENUE SAINT EXUPERY","BELLEGARDE SUR VALSERINE C",1,1206
"0010010F","LYCEE GENERAL ET TECHNOLOGIQUE","DU BUGEY","113 rue DU 5E RTM","BELLEY CEDEX",1,1306
"0010014K","LYCEE GENERAL ET TECHNOLOGIQUE","EDGAR QUINET","5 avenue JEAN MARIE VERNE","BOURG EN BRESSE CEDEX",1,1011
"0010016M","LYCEE POLYVALENT","JOSEPH-MARIE CARRIAT","1  RUE DE CROUY","BOURG EN BRESSE CEDEX",1,1011
"0010020S","LP LYCEE DES METIERS","GEORGES CHARPAK","Avenue CHARLES DE GAULLE","CHATILLON SUR CHALARONNE",1,1400
"0010032E","LYCEE POLYVALENT","XAVIER BICHAT","AVENUE DU LAC","NANTUA",1,1130
"0040533H","LYCEE POLYVALENT","LES ISCLES","116  BOULEVARD REGIS RYCKEBUSH","MANOSQUE",4,4100
"0040536L","PAYE AED","LYCEE PIERRE GILLES DE GENNES","QUARTIER SAINT CHRISTOPHE","DIGNE LES BAINS",4,4000
"0040543U","LYCEE GENERAL","ECOLE INTERNATIONALE PACA","159  AVENUE DR BERNARD FOUSSIER","MANOSQUE CEDEX",4,4102
"0020012C","LPO LYCEE DES METIERS","JEAN DE LA FONTAINE","2 rue MOSBACH","CHATEAU THIERRY CEDEX",2,2405
"0020014E","LGT LYCEE DES METIERS","GAY LUSSAC","23 boulevard GAMBETTA","CHAUNY CEDEX",2,2302
"0011326L","LYCEE GENERAL ET TECHNOLOGIQUE","DE LA COTIERE","270  CHEMIN DU GRAND CASSET","LA BOISSE",1,1120
"0011242V","GRETA BUGEY","LYCEE ALEXANDRE BERARD","223 RUE ALEXANDRE BERARD","AMBERIEU EN BUGEY",1,1500
"0010050Z","LYCEE PROFESSIONNEL",,"13 PLACE DES DEPORTES","OYONNAX",1,1100
"0020022N","LYCEE PROFESSIONNEL","JEAN MONNET","22 rue D ABOVILLE","LA FERE",2,2800
"0020023P","LYCEE PROFESSIONNEL",,"9 RUE DU CHATEAU","FERE EN TARDENOIS",2,2130
"0020031Y","LGT LYCEE DES METIERS","FREDERIC ET IRENE JOLIOT CURIE","1  PLACE DU PIGEON BLANC","HIRSON",2,2500
"0020032Z","LYCEE GENERAL ET TECHNOLOGIQUE","PAUL CLAUDEL","PLACE FOCH","LAON CEDEX",2,2001
"0020034B","LYCEE POLYVALENT","PIERRE MECHAIN","19 rue LEO LAGRANGE","LAON CEDEX",2,2011
"0021479X","LYCEE PROFESSIONNEL","FRANCOISE DOLTO","4 avenue DES LILAS","GUISE",2,2120
"0021480Y","RESTAU.UNIV.DU LYCEE H.MARTIN","C.R.O.U.SD AMIENS","PLACE EDOUARD-BRANLY","ST QUENTIN",2,2100
"0011258M","LYCEE PROFESSIONNEL PRIVE","ENSEMBLE SCOLAIRE LAMARTINE","41 rue GEORGES GIRERD","BELLEY CEDEX",1,1302
"0011276G","LYCEE GENERAL ET TECHNOLOGIQUE","DU VAL DE SAONE","220  CHEMIN D'ARRAS","TREVOUX CEDEX",1,1606
"0020089L","LP LYCEE DES METIERS","FREDERIC ET IRENE JOLIOT CURIE","5 RUE RUE CHANZY","HIRSON",2,2500
"0040034R","LYCEE GEN.ET TECHNOL.PRIVE","LE SACRE COEUR","2  AVENUE DES THERMES","DIGNE LES BAINS",4,4000
"0020491Y","LYCEE GEN.ET TECHNOL.PRIVE","C.C.I.A.","ESPACE JEAN BOUIN","ST QUENTIN",2,2100
"0040465J","LYCEE TECHNOLOGIQUE PRIVE","SACRE COEUR (LE)","2 AVENUE DES THERMES","DIGNE LES BAINS",4,4000
"0011119L","LPO LYCEE DES METIERS","ARBEZ CARME","1 rue PIERRE ET MARIE CURIE","BELLIGNAT",1,1100
"0011120M","LP LYCEE DES METIERS","ARBEZ CARME","1 RUE PIERRE ET MARIE CURIE","OYONNAX CEDEX",1,1117
"0022109G","LYCEE PROFESSIONNEL PRIVE","DU VAL DE SERRE","10 RUE DE LA HALLE","POUILLY SUR SERRE",2,2270
