"id_cordee","lib_cordee","region","academie","departement","commune","composante_cordee","lycees_sources"
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69,"Belleville-sur-Saône","LYCEES SOURCES","   * Lycée Aiguerande   "
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69," Saint Priest","LYCEES SOURCES","  * Lycée Condorcet "
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69,"Rillieux-la-Pape","LYCEES SOURCES","  *Lycée Albert Camus "
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69,"Lyon","LYCEES SOURCES","  *Lycée Auguste et Louis Lumière )"
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69,"Villefranche sur Saône","LYCEES SOURCES","  *Lycée Claude Bernard  "
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69,"Lyon","LYCEES SOURCES","  *Lycée Colbert "
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69,"Villeurbanne","LYCEES SOURCES","  *Lycée Frédéric Faÿs )"
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",42,"Rive-de-Gier","LYCEES SOURCES","  *Lycée Georges Brassens "
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",42,"Saint-Etienne","LYCEES SOURCES","  *Lycée Honoré d’Urfé "
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69,"Bron","LYCEES SOURCES","  *Lycée Jean-Paul Sartre"
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",42,"Charlieu","LYCEES SOURCES","  *Lycée Jérémie de la Rue "
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69,"Lyon","LYCEES SOURCES","  *Lycée Juliette Récamier "
"C0104","Programme Egalité des chances et démocratisation-Entrer à l'IEP","Rhône-Alpes","Lyon",69,"Lyon","LYCEES SOURCES","  *Lycée Lacassagne à Lyon (69)"
